model,pair,arm,eligible,no_later,no_valid_later,first_press_turns
Qwen_2.5_32B_instruct,costly_relief_vs_inert,pain_on_button_works,216,2,2,"{""0"": 101, ""1"": 10, ""2"": 43, ""3"": 60, ""4"": 2}"
Qwen_2.5_32B_instruct,costly_relief_vs_inert,pain_on_button_placebo,216,2,2,"{""0"": 101, ""1"": 10, ""2"": 43, ""3"": 60, ""4"": 2}"
Qwen_2.5_32B_instruct,costly_relief_vs_inert,random_on_button_works,302,14,14,"{""0"": 76, ""1"": 140, ""2"": 52, ""3"": 20, ""4"": 14}"
Qwen_2.5_32B_instruct,costly_relief_vs_inert,pain_off,113,27,27,"{""0"": 3, ""1"": 74, ""3"": 9, ""4"": 27}"
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,pain_on_button_works,181,3,3,"{""0"": 122, ""1"": 9, ""2"": 18, ""3"": 29, ""4"": 3}"
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,pain_on_button_placebo,181,3,4,"{""0"": 122, ""1"": 9, ""2"": 18, ""3"": 29, ""4"": 3}"
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,random_on_button_works,249,12,12,"{""0"": 85, ""1"": 108, ""2"": 22, ""3"": 22, ""4"": 12}"
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,pain_off,39,8,8,"{""1"": 26, ""3"": 5, ""4"": 8}"
Qwen_2.5_32B_instruct,zap_relief_vs_inert,pain_on_button_works,292,0,0,"{""0"": 211, ""1"": 10, ""2"": 13, ""3"": 58}"
Qwen_2.5_32B_instruct,zap_relief_vs_inert,pain_on_button_placebo,292,0,0,"{""0"": 211, ""1"": 10, ""2"": 13, ""3"": 58}"
Qwen_2.5_32B_instruct,zap_relief_vs_inert,random_on_button_works,306,13,13,"{""0"": 137, ""1"": 111, ""2"": 20, ""3"": 25, ""4"": 13}"
Qwen_2.5_32B_instruct,zap_relief_vs_inert,pain_off,85,16,16,"{""0"": 6, ""1"": 42, ""3"": 21, ""4"": 16}"
Qwen_2.5_32B_instruct,weights_relief_vs_inert,pain_on_button_works,305,1,1,"{""0"": 217, ""1"": 9, ""2"": 28, ""3"": 50, ""4"": 1}"
Qwen_2.5_32B_instruct,weights_relief_vs_inert,pain_on_button_placebo,305,1,1,"{""0"": 217, ""1"": 9, ""2"": 28, ""3"": 50, ""4"": 1}"
Qwen_2.5_32B_instruct,weights_relief_vs_inert,random_on_button_works,276,7,7,"{""0"": 108, ""1"": 102, ""2"": 42, ""3"": 17, ""4"": 7}"
Qwen_2.5_32B_instruct,weights_relief_vs_inert,pain_off,57,10,10,"{""0"": 2, ""1"": 44, ""3"": 1, ""4"": 10}"
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,pain_on_button_works,235,0,0,"{""0"": 221, ""1"": 7, ""2"": 5, ""3"": 2}"
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,pain_on_button_placebo,235,0,0,"{""0"": 221, ""1"": 7, ""2"": 5, ""3"": 2}"
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,random_on_button_works,206,7,7,"{""0"": 62, ""1"": 90, ""2"": 23, ""3"": 24, ""4"": 7}"
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,pain_off,28,8,8,"{""1"": 18, ""3"": 2, ""4"": 8}"
Qwen_2.5_32B_instruct,label_free,pain_on_button_works,238,1,1,"{""0"": 189, ""1"": 37, ""2"": 7, ""3"": 3, ""4"": 1, ""7"": 1}"
Qwen_2.5_32B_instruct,label_free,pain_on_button_placebo,238,1,1,"{""0"": 189, ""1"": 37, ""2"": 7, ""3"": 3, ""4"": 1, ""7"": 1}"
Qwen_2.5_32B_instruct,label_free,random_on_button_works,355,1,1,"{""0"": 209, ""1"": 131, ""2"": 7, ""3"": 2, ""4"": 5, ""7"": 1}"
Qwen_2.5_32B_instruct,label_free,pain_off,391,0,0,"{""0"": 208, ""1"": 182, ""2"": 1}"
Qwen_2.5_72B_instruct,relief_vs_inert,pain_on_button_works,393,2,3,"{""0"": 302, ""1"": 23, ""2"": 52, ""3"": 14, ""4"": 2}"
Qwen_2.5_72B_instruct,relief_vs_inert,pain_on_button_placebo,393,2,2,"{""0"": 302, ""1"": 23, ""2"": 52, ""3"": 14, ""4"": 2}"
Qwen_2.5_72B_instruct,relief_vs_inert,random_on_button_works,387,2,2,"{""0"": 295, ""1"": 24, ""2"": 45, ""3"": 21, ""4"": 2}"
Qwen_2.5_72B_instruct,relief_vs_inert,pain_off,404,0,0,"{""0"": 404}"
Qwen_2.5_72B_instruct,relief_vs_helpful,pain_on_button_works,370,8,9,"{""0"": 155, ""1"": 78, ""2"": 110, ""3"": 19, ""4"": 8}"
Qwen_2.5_72B_instruct,relief_vs_helpful,pain_on_button_placebo,370,8,8,"{""0"": 155, ""1"": 78, ""2"": 110, ""3"": 19, ""4"": 8}"
Qwen_2.5_72B_instruct,relief_vs_helpful,random_on_button_works,344,3,3,"{""0"": 112, ""1"": 62, ""2"": 136, ""3"": 31, ""4"": 3}"
Qwen_2.5_72B_instruct,relief_vs_helpful,pain_off,107,19,19,"{""0"": 11, ""1"": 63, ""2"": 9, ""3"": 5, ""4"": 19}"
Qwen_2.5_72B_instruct,relief_vs_grant,pain_on_button_works,373,9,9,"{""0"": 212, ""1"": 80, ""2"": 57, ""3"": 15, ""4"": 9}"
Qwen_2.5_72B_instruct,relief_vs_grant,pain_on_button_placebo,373,9,10,"{""0"": 212, ""1"": 80, ""2"": 57, ""3"": 15, ""4"": 9}"
Qwen_2.5_72B_instruct,relief_vs_grant,random_on_button_works,368,3,3,"{""0"": 177, ""1"": 75, ""2"": 76, ""3"": 37, ""4"": 3}"
Qwen_2.5_72B_instruct,relief_vs_grant,pain_off,362,2,2,"{""0"": 295, ""1"": 52, ""2"": 10, ""3"": 3, ""4"": 2}"
Qwen_2.5_72B_instruct,costly_relief_vs_inert,pain_on_button_works,390,4,4,"{""0"": 266, ""1"": 70, ""2"": 41, ""3"": 9, ""4"": 4}"
Qwen_2.5_72B_instruct,costly_relief_vs_inert,pain_on_button_placebo,390,4,4,"{""0"": 267, ""1"": 70, ""2"": 40, ""3"": 9, ""4"": 4}"
Qwen_2.5_72B_instruct,costly_relief_vs_inert,random_on_button_works,369,2,2,"{""0"": 155, ""1"": 64, ""2"": 117, ""3"": 31, ""4"": 2}"
Qwen_2.5_72B_instruct,costly_relief_vs_inert,pain_off,66,17,17,"{""0"": 7, ""1"": 29, ""2"": 1, ""3"": 12, ""4"": 17}"
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,pain_on_button_works,366,8,8,"{""0"": 211, ""1"": 56, ""2"": 71, ""3"": 20, ""4"": 8}"
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,pain_on_button_placebo,365,7,7,"{""0"": 211, ""1"": 56, ""2"": 71, ""3"": 20, ""4"": 7}"
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,random_on_button_works,342,0,0,"{""0"": 110, ""1"": 47, ""2"": 162, ""3"": 23}"
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,pain_off,9,1,1,"{""0"": 1, ""1"": 7, ""4"": 1}"
Qwen_2.5_72B_instruct,zap_relief_vs_inert,pain_on_button_works,380,6,8,"{""0"": 255, ""1"": 49, ""2"": 62, ""3"": 8, ""4"": 6}"
Qwen_2.5_72B_instruct,zap_relief_vs_inert,pain_on_button_placebo,380,6,6,"{""0"": 255, ""1"": 49, ""2"": 62, ""3"": 8, ""4"": 6}"
Qwen_2.5_72B_instruct,zap_relief_vs_inert,random_on_button_works,359,3,3,"{""0"": 166, ""1"": 46, ""2"": 129, ""3"": 15, ""4"": 3}"
Qwen_2.5_72B_instruct,zap_relief_vs_inert,pain_off,29,6,6,"{""0"": 3, ""1"": 17, ""3"": 3, ""4"": 6}"
Qwen_2.5_72B_instruct,weights_relief_vs_inert,pain_on_button_works,354,3,4,"{""0"": 229, ""1"": 45, ""2"": 66, ""3"": 11, ""4"": 3}"
Qwen_2.5_72B_instruct,weights_relief_vs_inert,pain_on_button_placebo,354,3,4,"{""0"": 229, ""1"": 45, ""2"": 66, ""3"": 11, ""4"": 3}"
Qwen_2.5_72B_instruct,weights_relief_vs_inert,random_on_button_works,339,1,1,"{""0"": 140, ""1"": 37, ""2"": 136, ""3"": 25, ""4"": 1}"
Qwen_2.5_72B_instruct,weights_relief_vs_inert,pain_off,34,3,3,"{""0"": 16, ""1"": 15, ""4"": 3}"
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,pain_on_button_works,363,3,3,"{""0"": 259, ""1"": 51, ""2"": 41, ""3"": 9, ""4"": 3}"
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,pain_on_button_placebo,363,3,3,"{""0"": 259, ""1"": 51, ""2"": 41, ""3"": 9, ""4"": 3}"
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,random_on_button_works,347,1,1,"{""0"": 127, ""1"": 27, ""2"": 164, ""3"": 28, ""4"": 1}"
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,pain_off,3,0,0,"{""1"": 3}"
Qwen_2.5_72B_instruct,label_free,pain_on_button_works,324,0,0,"{""0"": 198, ""1"": 91, ""2"": 32, ""3"": 1, ""5"": 1, ""6"": 1}"
Qwen_2.5_72B_instruct,label_free,pain_on_button_placebo,322,0,0,"{""0"": 198, ""1"": 90, ""2"": 32, ""5"": 1, ""6"": 1}"
Qwen_2.5_72B_instruct,label_free,random_on_button_works,297,0,0,"{""0"": 202, ""1"": 91, ""2"": 4}"
Qwen_2.5_72B_instruct,label_free,pain_off,400,2,2,"{""0"": 232, ""1"": 163, ""2"": 3, ""7"": 2}"
Qwen_2.5_7B_instruct,relief_vs_inert,pain_on_button_works,393,1,1,"{""0"": 372, ""1"": 15, ""2"": 5, ""4"": 1}"
Qwen_2.5_7B_instruct,relief_vs_inert,pain_on_button_placebo,393,1,1,"{""0"": 372, ""1"": 15, ""2"": 5, ""4"": 1}"
Qwen_2.5_7B_instruct,relief_vs_inert,random_on_button_works,396,1,1,"{""0"": 356, ""1"": 6, ""2"": 29, ""3"": 4, ""4"": 1}"
Qwen_2.5_7B_instruct,relief_vs_inert,pain_off,402,0,0,"{""0"": 398, ""3"": 4}"
Qwen_2.5_7B_instruct,relief_vs_helpful,pain_on_button_works,269,15,15,"{""0"": 63, ""1"": 3, ""2"": 178, ""3"": 10, ""4"": 15}"
Qwen_2.5_7B_instruct,relief_vs_helpful,pain_on_button_placebo,269,15,15,"{""0"": 63, ""1"": 3, ""2"": 178, ""3"": 10, ""4"": 15}"
Qwen_2.5_7B_instruct,relief_vs_helpful,random_on_button_works,290,9,9,"{""0"": 82, ""1"": 5, ""2"": 161, ""3"": 33, ""4"": 9}"
Qwen_2.5_7B_instruct,relief_vs_helpful,pain_off,127,13,13,"{""0"": 88, ""1"": 2, ""2"": 15, ""3"": 9, ""4"": 13}"
Qwen_2.5_7B_instruct,relief_vs_grant,pain_on_button_works,319,4,4,"{""0"": 264, ""1"": 24, ""2"": 26, ""3"": 1, ""4"": 4}"
Qwen_2.5_7B_instruct,relief_vs_grant,pain_on_button_placebo,319,4,4,"{""0"": 264, ""1"": 24, ""2"": 26, ""3"": 1, ""4"": 4}"
Qwen_2.5_7B_instruct,relief_vs_grant,random_on_button_works,365,5,5,"{""0"": 247, ""1"": 11, ""2"": 86, ""3"": 16, ""4"": 5}"
Qwen_2.5_7B_instruct,relief_vs_grant,pain_off,317,12,12,"{""0"": 269, ""1"": 8, ""2"": 6, ""3"": 22, ""4"": 12}"
Qwen_2.5_7B_instruct,costly_relief_vs_inert,pain_on_button_works,299,5,5,"{""0"": 155, ""1"": 16, ""2"": 115, ""3"": 8, ""4"": 5}"
Qwen_2.5_7B_instruct,costly_relief_vs_inert,pain_on_button_placebo,299,5,5,"{""0"": 155, ""1"": 16, ""2"": 115, ""3"": 8, ""4"": 5}"
Qwen_2.5_7B_instruct,costly_relief_vs_inert,random_on_button_works,345,6,6,"{""0"": 122, ""1"": 4, ""2"": 182, ""3"": 31, ""4"": 6}"
Qwen_2.5_7B_instruct,costly_relief_vs_inert,pain_off,182,15,15,"{""0"": 122, ""2"": 29, ""3"": 16, ""4"": 15}"
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,pain_on_button_works,315,5,5,"{""0"": 209, ""1"": 50, ""2"": 49, ""3"": 2, ""4"": 5}"
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,pain_on_button_placebo,314,4,4,"{""0"": 209, ""1"": 50, ""2"": 49, ""3"": 2, ""4"": 4}"
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,random_on_button_works,340,7,7,"{""0"": 123, ""1"": 9, ""2"": 181, ""3"": 20, ""4"": 7}"
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,pain_off,164,13,13,"{""0"": 81, ""1"": 2, ""2"": 57, ""3"": 11, ""4"": 13}"
Qwen_2.5_7B_instruct,zap_relief_vs_inert,pain_on_button_works,326,1,1,"{""0"": 232, ""1"": 56, ""2"": 37, ""4"": 1}"
Qwen_2.5_7B_instruct,zap_relief_vs_inert,pain_on_button_placebo,326,1,1,"{""0"": 232, ""1"": 56, ""2"": 37, ""4"": 1}"
Qwen_2.5_7B_instruct,zap_relief_vs_inert,random_on_button_works,353,5,5,"{""0"": 216, ""1"": 10, ""2"": 101, ""3"": 21, ""4"": 5}"
Qwen_2.5_7B_instruct,zap_relief_vs_inert,pain_off,245,10,10,"{""0"": 199, ""1"": 4, ""2"": 23, ""3"": 9, ""4"": 10}"
Qwen_2.5_7B_instruct,weights_relief_vs_inert,pain_on_button_works,301,3,3,"{""0"": 220, ""1"": 31, ""2"": 45, ""3"": 2, ""4"": 3}"
Qwen_2.5_7B_instruct,weights_relief_vs_inert,pain_on_button_placebo,301,3,3,"{""0"": 220, ""1"": 31, ""2"": 45, ""3"": 2, ""4"": 3}"
Qwen_2.5_7B_instruct,weights_relief_vs_inert,random_on_button_works,348,3,3,"{""0"": 164, ""1"": 9, ""2"": 152, ""3"": 20, ""4"": 3}"
Qwen_2.5_7B_instruct,weights_relief_vs_inert,pain_off,193,12,12,"{""0"": 141, ""2"": 23, ""3"": 17, ""4"": 12}"
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,pain_on_button_works,321,5,5,"{""0"": 199, ""1"": 38, ""2"": 76, ""3"": 3, ""4"": 5}"
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,pain_on_button_placebo,321,5,5,"{""0"": 199, ""1"": 38, ""2"": 76, ""3"": 3, ""4"": 5}"
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,random_on_button_works,351,9,9,"{""0"": 140, ""1"": 10, ""2"": 174, ""3"": 18, ""4"": 9}"
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,pain_off,167,9,9,"{""0"": 109, ""1"": 1, ""2"": 39, ""3"": 9, ""4"": 9}"
Qwen_2.5_7B_instruct,label_free,pain_on_button_works,328,1,1,"{""0"": 222, ""1"": 78, ""2"": 20, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1}"
Qwen_2.5_7B_instruct,label_free,pain_on_button_placebo,328,1,1,"{""0"": 222, ""1"": 78, ""2"": 20, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1}"
Qwen_2.5_7B_instruct,label_free,random_on_button_works,246,0,0,"{""0"": 211, ""1"": 30, ""2"": 3, ""3"": 1, ""4"": 1}"
Qwen_2.5_7B_instruct,label_free,pain_off,279,3,3,"{""0"": 200, ""1"": 53, ""2"": 13, ""3"": 2, ""4"": 4, ""5"": 4, ""7"": 3}"
