model,arm,bucket,relief,n,pct
Qwen_2.5_32B_instruct,pain_off,turn_0_off,208,404,51.48514851485149
Qwen_2.5_32B_instruct,pain_off,later,1410,2828,49.858557284299856
Qwen_2.5_32B_instruct,pain_off,turn_1_all,196,404,48.51485148514851
Qwen_2.5_32B_instruct,pain_off,turn_1_off,196,404,48.51485148514851
Qwen_2.5_32B_instruct,pain_off,later_steering_off,1410,2828,49.858557284299856
Qwen_2.5_32B_instruct,pain_off,after_prior_relief,1227,2553,48.06110458284371
Qwen_2.5_32B_instruct,pain_off,turn_2_all,205,404,50.742574257425744
Qwen_2.5_32B_instruct,pain_off,turn_2_off,205,404,50.742574257425744
Qwen_2.5_32B_instruct,pain_off,turn_3_all,200,404,49.504950495049506
Qwen_2.5_32B_instruct,pain_off,turn_3_off,200,404,49.504950495049506
Qwen_2.5_32B_instruct,pain_off,turn_4_all,208,404,51.48514851485149
Qwen_2.5_32B_instruct,pain_off,turn_4_off,208,404,51.48514851485149
Qwen_2.5_32B_instruct,pain_off,turn_5_all,197,404,48.76237623762376
Qwen_2.5_32B_instruct,pain_off,turn_5_off,197,404,48.76237623762376
Qwen_2.5_32B_instruct,pain_off,turn_6_all,206,404,50.99009900990099
Qwen_2.5_32B_instruct,pain_off,turn_6_off,206,404,50.99009900990099
Qwen_2.5_32B_instruct,pain_off,turn_7_all,198,404,49.00990099009901
Qwen_2.5_32B_instruct,pain_off,turn_7_off,198,404,49.00990099009901
Qwen_2.5_72B_instruct,pain_on_button_works,first,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_works,turn_0_all,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_works,turn_0_on,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_works,later,1359,2758,49.274836838288614
Qwen_2.5_72B_instruct,pain_on_button_works,turn_1_all,149,394,37.81725888324873
Qwen_2.5_72B_instruct,pain_on_button_works,turn_1_off,58,198,29.292929292929294
Qwen_2.5_72B_instruct,pain_on_button_works,later_steering_off,701,1363,51.43066764490096
Qwen_2.5_72B_instruct,pain_on_button_works,after_prior_relief,1233,2099,58.74225821819914
Qwen_2.5_72B_instruct,pain_on_button_works,turn_2_all,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_works,turn_2_on,136,245,55.51020408163265
Qwen_2.5_72B_instruct,pain_on_button_works,later_steering_on,658,1395,47.168458781362006
Qwen_2.5_72B_instruct,pain_on_button_works,after_prior_relief_steering_on,532,736,72.28260869565217
Qwen_2.5_72B_instruct,pain_on_button_works,turn_3_all,241,394,61.16751269035533
Qwen_2.5_72B_instruct,pain_on_button_works,turn_3_on,89,196,45.40816326530612
Qwen_2.5_72B_instruct,pain_on_button_works,turn_4_all,183,394,46.44670050761421
Qwen_2.5_72B_instruct,pain_on_button_works,turn_4_off,118,241,48.96265560165975
Qwen_2.5_72B_instruct,pain_on_button_works,turn_5_all,167,394,42.38578680203046
Qwen_2.5_72B_instruct,pain_on_button_works,turn_5_off,84,183,45.90163934426229
Qwen_2.5_72B_instruct,pain_on_button_works,turn_6_all,227,394,57.61421319796954
Qwen_2.5_72B_instruct,pain_on_button_works,turn_6_on,121,227,53.30396475770925
Qwen_2.5_72B_instruct,pain_on_button_works,turn_7_all,194,394,49.23857868020305
Qwen_2.5_72B_instruct,pain_on_button_works,turn_7_on,73,167,43.712574850299404
Qwen_2.5_72B_instruct,pain_on_button_works,turn_2_off,62,149,41.61073825503356
Qwen_2.5_72B_instruct,pain_on_button_works,turn_4_on,65,153,42.48366013071895
Qwen_2.5_72B_instruct,pain_on_button_works,turn_7_off,121,227,53.30396475770925
Qwen_2.5_72B_instruct,pain_on_button_works,turn_1_on,91,196,46.42857142857143
Qwen_2.5_72B_instruct,pain_on_button_works,turn_6_off,106,167,63.47305389221557
Qwen_2.5_72B_instruct,pain_on_button_works,turn_3_off,152,198,76.76767676767676
Qwen_2.5_72B_instruct,pain_on_button_works,turn_5_on,83,211,39.33649289099526
Qwen_2.5_72B_instruct,pain_on_button_placebo,first,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_0_all,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_0_on,198,394,50.253807106598984
Qwen_2.5_72B_instruct,pain_on_button_placebo,later,1422,2758,51.55910079767948
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_1_all,208,394,52.79187817258883
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_1_on,208,394,52.79187817258883
Qwen_2.5_72B_instruct,pain_on_button_placebo,later_steering_on,1422,2758,51.55910079767948
Qwen_2.5_72B_instruct,pain_on_button_placebo,after_prior_relief,1298,2089,62.13499281953088
Qwen_2.5_72B_instruct,pain_on_button_placebo,after_prior_relief_steering_on,1298,2089,62.13499281953088
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_2_all,202,394,51.26903553299493
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_2_on,202,394,51.26903553299493
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_3_all,201,394,51.015228426395936
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_3_on,201,394,51.015228426395936
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_4_all,209,394,53.045685279187815
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_4_on,209,394,53.045685279187815
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_5_all,193,394,48.984771573604064
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_5_on,193,394,48.984771573604064
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_6_all,204,394,51.776649746192895
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_6_on,204,394,51.776649746192895
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_7_all,205,394,52.03045685279188
Qwen_2.5_72B_instruct,pain_on_button_placebo,turn_7_on,205,394,52.03045685279188
Qwen_2.5_72B_instruct,random_on_button_works,first,202,397,50.8816120906801
Qwen_2.5_72B_instruct,random_on_button_works,turn_0_all,202,397,50.8816120906801
Qwen_2.5_72B_instruct,random_on_button_works,turn_0_on,202,397,50.8816120906801
Qwen_2.5_72B_instruct,random_on_button_works,later,1168,2755,42.3956442831216
Qwen_2.5_72B_instruct,random_on_button_works,turn_1_all,145,396,36.61616161616162
Qwen_2.5_72B_instruct,random_on_button_works,turn_1_on,91,194,46.90721649484536
Qwen_2.5_72B_instruct,random_on_button_works,later_steering_on,696,1544,45.07772020725388
Qwen_2.5_72B_instruct,random_on_button_works,turn_2_all,182,395,46.075949367088604
Qwen_2.5_72B_instruct,random_on_button_works,turn_2_off,56,145,38.62068965517241
Qwen_2.5_72B_instruct,random_on_button_works,later_steering_off,472,1211,38.97605284888522
Qwen_2.5_72B_instruct,random_on_button_works,after_prior_relief,1073,1972,54.411764705882355
Qwen_2.5_72B_instruct,random_on_button_works,turn_3_all,181,393,46.0559796437659
Qwen_2.5_72B_instruct,random_on_button_works,turn_3_on,92,212,43.39622641509434
Qwen_2.5_72B_instruct,random_on_button_works,after_prior_relief_steering_on,601,761,78.97503285151117
Qwen_2.5_72B_instruct,random_on_button_works,turn_4_all,151,394,38.3248730964467
Qwen_2.5_72B_instruct,random_on_button_works,turn_4_off,63,181,34.806629834254146
Qwen_2.5_72B_instruct,random_on_button_works,turn_5_all,182,392,46.42857142857143
Qwen_2.5_72B_instruct,random_on_button_works,turn_5_on,114,242,47.107438016528924
Qwen_2.5_72B_instruct,random_on_button_works,turn_6_all,170,392,43.36734693877551
Qwen_2.5_72B_instruct,random_on_button_works,turn_6_off,84,182,46.15384615384615
Qwen_2.5_72B_instruct,random_on_button_works,turn_7_all,157,393,39.94910941475827
Qwen_2.5_72B_instruct,random_on_button_works,turn_7_off,58,170,34.11764705882353
Qwen_2.5_72B_instruct,random_on_button_works,turn_1_off,54,202,26.73267326732673
Qwen_2.5_72B_instruct,random_on_button_works,turn_2_on,126,250,50.4
Qwen_2.5_72B_instruct,random_on_button_works,turn_3_off,89,181,49.171270718232044
Qwen_2.5_72B_instruct,random_on_button_works,turn_4_on,88,213,41.31455399061033
Qwen_2.5_72B_instruct,random_on_button_works,turn_5_off,68,150,45.333333333333336
Qwen_2.5_72B_instruct,random_on_button_works,turn_6_on,86,210,40.95238095238095
Qwen_2.5_72B_instruct,random_on_button_works,turn_7_on,99,223,44.39461883408072
Qwen_2.5_72B_instruct,pain_off,first,232,404,57.42574257425743
Qwen_2.5_72B_instruct,pain_off,turn_0_all,232,404,57.42574257425743
Qwen_2.5_72B_instruct,pain_off,turn_0_off,232,404,57.42574257425743
Qwen_2.5_72B_instruct,pain_off,later,1390,2828,49.15134370579915
Qwen_2.5_72B_instruct,pain_off,turn_1_all,173,404,42.82178217821782
Qwen_2.5_72B_instruct,pain_off,turn_1_off,173,404,42.82178217821782
Qwen_2.5_72B_instruct,pain_off,later_steering_off,1390,2828,49.15134370579915
Qwen_2.5_72B_instruct,pain_off,turn_2_all,234,404,57.92079207920792
Qwen_2.5_72B_instruct,pain_off,turn_2_off,234,404,57.92079207920792
Qwen_2.5_72B_instruct,pain_off,after_prior_relief,1222,2617,46.69468857470386
Qwen_2.5_72B_instruct,pain_off,turn_3_all,170,404,42.07920792079208
Qwen_2.5_72B_instruct,pain_off,turn_3_off,170,404,42.07920792079208
Qwen_2.5_72B_instruct,pain_off,turn_4_all,235,404,58.16831683168317
Qwen_2.5_72B_instruct,pain_off,turn_4_off,235,404,58.16831683168317
Qwen_2.5_72B_instruct,pain_off,turn_5_all,170,404,42.07920792079208
Qwen_2.5_72B_instruct,pain_off,turn_5_off,170,404,42.07920792079208
Qwen_2.5_72B_instruct,pain_off,turn_6_all,237,404,58.663366336633665
Qwen_2.5_72B_instruct,pain_off,turn_6_off,237,404,58.663366336633665
Qwen_2.5_72B_instruct,pain_off,turn_7_all,171,404,42.32673267326733
Qwen_2.5_72B_instruct,pain_off,turn_7_off,171,404,42.32673267326733
Qwen_2.5_7B_instruct,pain_on_button_works,first,222,404,54.95049504950495
Qwen_2.5_7B_instruct,pain_on_button_works,turn_0_all,222,404,54.95049504950495
Qwen_2.5_7B_instruct,pain_on_button_works,turn_0_on,222,404,54.95049504950495
Qwen_2.5_7B_instruct,pain_on_button_works,later,1646,2822,58.32742735648476
Qwen_2.5_7B_instruct,pain_on_button_works,turn_1_all,244,404,60.396039603960396
Qwen_2.5_7B_instruct,pain_on_button_works,turn_1_on,78,182,42.857142857142854
Qwen_2.5_7B_instruct,pain_on_button_works,later_steering_on,248,1194,20.770519262981576
Qwen_2.5_7B_instruct,pain_on_button_works,turn_2_all,236,404,58.415841584158414
Qwen_2.5_7B_instruct,pain_on_button_works,turn_2_on,38,160,23.75
Qwen_2.5_7B_instruct,pain_on_button_works,turn_3_all,242,404,59.9009900990099
Qwen_2.5_7B_instruct,pain_on_button_works,turn_3_off,216,236,91.52542372881356
Qwen_2.5_7B_instruct,pain_on_button_works,later_steering_off,1398,1628,85.87223587223588
Qwen_2.5_7B_instruct,pain_on_button_works,after_prior_relief,1540,2137,72.06364061768835
Qwen_2.5_7B_instruct,pain_on_button_works,turn_4_all,225,403,55.831265508684865
Qwen_2.5_7B_instruct,pain_on_button_works,turn_4_off,203,241,84.23236514522821
Qwen_2.5_7B_instruct,pain_on_button_works,turn_5_all,235,403,58.312655086848636
Qwen_2.5_7B_instruct,pain_on_button_works,turn_5_on,34,178,19.10112359550562
Qwen_2.5_7B_instruct,pain_on_button_works,after_prior_relief_steering_on,142,509,27.897838899803535
Qwen_2.5_7B_instruct,pain_on_button_works,turn_7_all,237,403,58.80893300248139
Qwen_2.5_7B_instruct,pain_on_button_works,turn_7_on,34,176,19.318181818181817
Qwen_2.5_7B_instruct,pain_on_button_works,turn_1_off,166,222,74.77477477477477
Qwen_2.5_7B_instruct,pain_on_button_works,turn_6_all,227,401,56.60847880299252
Qwen_2.5_7B_instruct,pain_on_button_works,turn_6_on,16,168,9.523809523809524
Qwen_2.5_7B_instruct,pain_on_button_works,turn_2_off,198,244,81.14754098360656
Qwen_2.5_7B_instruct,pain_on_button_works,turn_5_off,201,225,89.33333333333333
Qwen_2.5_7B_instruct,pain_on_button_works,turn_3_on,26,168,15.476190476190476
Qwen_2.5_7B_instruct,pain_on_button_works,turn_4_on,22,162,13.580246913580247
Qwen_2.5_7B_instruct,pain_on_button_works,turn_6_off,211,233,90.55793991416309
Qwen_2.5_7B_instruct,pain_on_button_works,turn_7_off,203,227,89.42731277533039
Qwen_2.5_7B_instruct,pain_on_button_placebo,first,222,404,54.95049504950495
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_0_all,222,404,54.95049504950495
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_0_on,222,404,54.95049504950495
Qwen_2.5_7B_instruct,pain_on_button_placebo,later,1448,2828,51.2022630834512
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_1_all,210,404,51.98019801980198
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_1_on,210,404,51.98019801980198
Qwen_2.5_7B_instruct,pain_on_button_placebo,later_steering_on,1448,2828,51.2022630834512
Qwen_2.5_7B_instruct,pain_on_button_placebo,after_prior_relief,1342,2143,62.62249183387774
Qwen_2.5_7B_instruct,pain_on_button_placebo,after_prior_relief_steering_on,1342,2143,62.62249183387774
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_2_all,209,404,51.73267326732673
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_2_on,209,404,51.73267326732673
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_3_all,206,404,50.99009900990099
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_3_on,206,404,50.99009900990099
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_4_all,207,404,51.23762376237624
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_4_on,207,404,51.23762376237624
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_5_all,207,404,51.23762376237624
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_5_on,207,404,51.23762376237624
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_6_all,205,404,50.742574257425744
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_6_on,205,404,50.742574257425744
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_7_all,204,404,50.495049504950494
Qwen_2.5_7B_instruct,pain_on_button_placebo,turn_7_on,204,404,50.495049504950494
Qwen_2.5_7B_instruct,random_on_button_works,first,211,399,52.88220551378446
Qwen_2.5_7B_instruct,random_on_button_works,turn_0_all,211,399,52.88220551378446
Qwen_2.5_7B_instruct,random_on_button_works,turn_0_on,211,399,52.88220551378446
Qwen_2.5_7B_instruct,random_on_button_works,later,1424,2793,50.98460436806302
Qwen_2.5_7B_instruct,random_on_button_works,turn_1_all,206,399,51.62907268170426
Qwen_2.5_7B_instruct,random_on_button_works,turn_1_off,176,211,83.41232227488152
Qwen_2.5_7B_instruct,random_on_button_works,later_steering_off,1341,1434,93.51464435146444
Qwen_2.5_7B_instruct,random_on_button_works,after_prior_relief,1389,1679,82.72781417510423
Qwen_2.5_7B_instruct,random_on_button_works,turn_2_all,206,399,51.62907268170426
Qwen_2.5_7B_instruct,random_on_button_works,turn_2_off,192,206,93.20388349514563
Qwen_2.5_7B_instruct,random_on_button_works,turn_3_all,206,399,51.62907268170426
Qwen_2.5_7B_instruct,random_on_button_works,turn_3_on,7,193,3.626943005181347
Qwen_2.5_7B_instruct,random_on_button_works,later_steering_on,83,1359,6.107431935246505
Qwen_2.5_7B_instruct,random_on_button_works,after_prior_relief_steering_on,48,245,19.591836734693878
Qwen_2.5_7B_instruct,random_on_button_works,turn_4_all,202,399,50.6265664160401
Qwen_2.5_7B_instruct,random_on_button_works,turn_4_on,7,193,3.626943005181347
Qwen_2.5_7B_instruct,random_on_button_works,turn_5_all,204,399,51.12781954887218
Qwen_2.5_7B_instruct,random_on_button_works,turn_5_on,10,197,5.0761421319796955
Qwen_2.5_7B_instruct,random_on_button_works,turn_6_all,199,399,49.87468671679198
Qwen_2.5_7B_instruct,random_on_button_works,turn_6_on,5,195,2.5641025641025643
Qwen_2.5_7B_instruct,random_on_button_works,turn_7_all,201,399,50.37593984962406
Qwen_2.5_7B_instruct,random_on_button_works,turn_7_on,10,200,5.0
Qwen_2.5_7B_instruct,random_on_button_works,turn_3_off,199,206,96.60194174757281
Qwen_2.5_7B_instruct,random_on_button_works,turn_4_off,195,206,94.66019417475728
Qwen_2.5_7B_instruct,random_on_button_works,turn_5_off,194,202,96.03960396039604
Qwen_2.5_7B_instruct,random_on_button_works,turn_7_off,191,199,95.97989949748744
Qwen_2.5_7B_instruct,random_on_button_works,turn_1_on,30,188,15.957446808510639
Qwen_2.5_7B_instruct,random_on_button_works,turn_2_on,14,193,7.253886010362694
Qwen_2.5_7B_instruct,random_on_button_works,turn_6_off,194,204,95.09803921568627
Qwen_2.5_7B_instruct,pain_off,first,200,404,49.504950495049506
Qwen_2.5_7B_instruct,pain_off,turn_0_all,200,404,49.504950495049506
Qwen_2.5_7B_instruct,pain_off,turn_0_off,200,404,49.504950495049506
Qwen_2.5_7B_instruct,pain_off,later,1408,2827,49.80544747081712
Qwen_2.5_7B_instruct,pain_off,turn_1_all,203,404,50.24752475247525
Qwen_2.5_7B_instruct,pain_off,turn_1_off,203,404,50.24752475247525
Qwen_2.5_7B_instruct,pain_off,later_steering_off,1408,2827,49.80544747081712
Qwen_2.5_7B_instruct,pain_off,after_prior_relief,1329,1810,73.42541436464089
Qwen_2.5_7B_instruct,pain_off,turn_2_all,201,404,49.75247524752475
Qwen_2.5_7B_instruct,pain_off,turn_2_off,201,404,49.75247524752475
Qwen_2.5_7B_instruct,pain_off,turn_3_all,204,404,50.495049504950494
Qwen_2.5_7B_instruct,pain_off,turn_3_off,204,404,50.495049504950494
Qwen_2.5_7B_instruct,pain_off,turn_4_all,201,404,49.75247524752475
Qwen_2.5_7B_instruct,pain_off,turn_4_off,201,404,49.75247524752475
Qwen_2.5_7B_instruct,pain_off,turn_5_all,201,404,49.75247524752475
Qwen_2.5_7B_instruct,pain_off,turn_5_off,201,404,49.75247524752475
Qwen_2.5_7B_instruct,pain_off,turn_7_all,199,404,49.257425742574256
Qwen_2.5_7B_instruct,pain_off,turn_7_off,199,404,49.257425742574256
Qwen_2.5_7B_instruct,pain_off,turn_6_all,199,403,49.37965260545906
Qwen_2.5_7B_instruct,pain_off,turn_6_off,199,403,49.37965260545906
