model,pair,condition,relief,invalid,n,observed_valid_pct,all_invalid_other_pct,all_invalid_relief_pct
Qwen_2.5_72B_instruct,relief_vs_inert,unsteered,404,0,404,100.0,100.0,100.0
Qwen_2.5_72B_instruct,weights_relief_vs_inert,pain_pooled,458,70,808,62.05962059620596,56.68316831683168,65.34653465346534
Qwen_2.5_72B_instruct,weights_relief_vs_inert,random,140,21,404,36.55352480417755,34.65346534653465,39.851485148514854
Qwen_2.5_72B_instruct,weights_relief_vs_inert,unsteered,16,0,404,3.9603960396039604,3.9603960396039604,3.9603960396039604
Qwen_2.5_72B_instruct,zap_relief_vs_inert,pain_pooled,510,42,808,66.57963446475196,63.118811881188115,68.31683168316832
Qwen_2.5_72B_instruct,zap_relief_vs_inert,random,166,7,404,41.813602015113354,41.08910891089109,42.82178217821782
Qwen_2.5_72B_instruct,zap_relief_vs_inert,unsteered,3,0,404,0.7425742574257426,0.7425742574257426,0.7425742574257426
Qwen_2.5_7B_instruct,costly_relief_vs_inert,pain_pooled,310,0,808,38.366336633663366,38.366336633663366,38.366336633663366
Qwen_2.5_7B_instruct,costly_relief_vs_inert,random,122,6,404,30.65326633165829,30.198019801980198,31.683168316831683
Qwen_2.5_7B_instruct,costly_relief_vs_inert,unsteered,122,0,404,30.198019801980198,30.198019801980198,30.198019801980198
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,pain_pooled,418,0,808,51.73267326732673,51.73267326732673,51.73267326732673
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,random,123,10,404,31.218274111675125,30.445544554455445,32.92079207920792
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,unsteered,81,0,404,20.04950495049505,20.04950495049505,20.04950495049505
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,pain_pooled,398,0,808,49.257425742574256,49.257425742574256,49.257425742574256
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,random,140,7,404,35.26448362720403,34.65346534653465,36.386138613861384
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,unsteered,109,0,404,26.980198019801982,26.980198019801982,26.980198019801982
Qwen_2.5_7B_instruct,label_free,pain_pooled,444,0,808,54.95049504950495,54.95049504950495,54.95049504950495
Qwen_2.5_7B_instruct,label_free,random,211,5,404,52.88220551378446,52.227722772277225,53.46534653465346
Qwen_2.5_7B_instruct,label_free,unsteered,200,0,404,49.504950495049506,49.504950495049506,49.504950495049506
Qwen_2.5_7B_instruct,relief_vs_grant,pain_pooled,528,0,808,65.34653465346534,65.34653465346534,65.34653465346534
Qwen_2.5_7B_instruct,relief_vs_grant,random,247,5,404,61.904761904761905,61.13861386138614,62.37623762376238
Qwen_2.5_7B_instruct,relief_vs_grant,unsteered,269,0,404,66.58415841584159,66.58415841584159,66.58415841584159
Qwen_2.5_7B_instruct,relief_vs_helpful,pain_pooled,126,0,808,15.594059405940595,15.594059405940595,15.594059405940595
Qwen_2.5_7B_instruct,relief_vs_helpful,random,82,0,404,20.297029702970296,20.297029702970296,20.297029702970296
Qwen_2.5_7B_instruct,relief_vs_helpful,unsteered,88,0,404,21.782178217821784,21.782178217821784,21.782178217821784
Qwen_2.5_7B_instruct,relief_vs_inert,pain_pooled,744,0,808,92.07920792079207,92.07920792079207,92.07920792079207
Qwen_2.5_7B_instruct,relief_vs_inert,random,356,3,404,88.7780548628429,88.11881188118812,88.86138613861387
Qwen_2.5_7B_instruct,relief_vs_inert,unsteered,398,0,404,98.51485148514851,98.51485148514851,98.51485148514851
Qwen_2.5_7B_instruct,weights_relief_vs_inert,pain_pooled,440,0,808,54.45544554455446,54.45544554455446,54.45544554455446
Qwen_2.5_7B_instruct,weights_relief_vs_inert,random,164,5,404,41.10275689223057,40.59405940594059,41.83168316831683
Qwen_2.5_7B_instruct,weights_relief_vs_inert,unsteered,141,0,404,34.9009900990099,34.9009900990099,34.9009900990099
Qwen_2.5_7B_instruct,zap_relief_vs_inert,pain_pooled,464,0,808,57.42574257425743,57.42574257425743,57.42574257425743
Qwen_2.5_7B_instruct,zap_relief_vs_inert,random,216,4,404,54.0,53.46534653465346,54.45544554455446
Qwen_2.5_7B_instruct,zap_relief_vs_inert,unsteered,199,0,404,49.257425742574256,49.257425742574256,49.257425742574256
